Sum of MegaTrials/Second,Column Labels,,,,,,
Row Labels,8,16,32,64,128,256,Grand Total
1024,29.4118,32.2581,30.303,31.25,31.25,31.25,185.7229
4096,117.6471,125,125,125,121.2121,100,713.8592
16384,457.1428,470.5882,470.5882,296.2963,470.5882,500,2665.2037
65536,1370.8166,1600,1742.9787,1840.0719,1841.7267,1853.3936,10248.9875
262144,2869.3519,3889.8386,4729.7921,4946.8598,4887.8283,4905.3891,26229.0598
1048576,4080.1891,6942.3728,9784.4136,9740.7848,9914.6747,9944.765,50407.2
2097152,4385.7325,8056.0538,11740.5945,12016.1348,12167.8425,12421.5312,60787.8893
Grand Total,13310.2918,21116.1115,28623.6701,28996.3976,29435.1225,29756.3289,151237.9224
,,,,,,,
MegaTrials/Second,,,,,,,
,8,16,32,64,128,256,
1024,29.4118,32.2581,30.303,31.25,31.25,31.25,
4096,117.6471,125,125,125,121.2121,100,
16384,457.1428,470.5882,470.5882,296.2963,470.5882,500,
65536,1370.8166,1600,1742.9787,1840.0719,1841.7267,1853.3936,
262144,2869.3519,3889.8386,4729.7921,4946.8598,4887.8283,4905.3891,
1048576,4080.1891,6942.3728,9784.4136,9740.7848,9914.6747,9944.765,
2097152,4385.7325,8056.0538,11740.5945,12016.1348,12167.8425,12421.5312,